event.tag.report tag_id=0x35E0170044CF0D590000F54E, type=ISOC, antenna=1, rssi=534, time=2010-05-01T03:17:28.490
event.tag.report tag_id=0x35E0170044CF0D590000F58C, type=ISOC, antenna=1, rssi=81, time=2010-05-01T03:17:28.516
event.tag.report tag_id=0x35E0170044CF0D590000F569, type=ISOC, antenna=1, rssi=1020, time=2010-05-01T03:17:28.738
event.tag.report tag_id=0x35E0170044CF0D590000F5A4, type=ISOC, antenna=1, rssi=1453, time=2010-05-01T03:17:28.742
event.tag.report tag_id=0x35E0170044CF0D590000F57F, type=ISOC, antenna=1, rssi=1177, time=2010-05-01T03:17:28.749
event.tag.report tag_id=0x35E0170044CF0D590000F55B, type=ISOC, antenna=1, rssi=777, time=2010-05-01T03:17:28.752
event.tag.report tag_id=0x35E0170044CF0D590000F626, type=ISOC, antenna=1, rssi=1105, time=2010-05-01T03:17:28.769
event.tag.report tag_id=0x35E0170044CF0D590000F64A, type=ISOC, antenna=1, rssi=349, time=2010-05-01T03:17:28.777
event.tag.report tag_id=0x35E0170044CF0D590000F61B, type=ISOC, antenna=1, rssi=628, time=2010-05-01T03:17:28.791
event.tag.report tag_id=0x35E0170044CF0D590000F605, type=ISOC, antenna=1, rssi=516, time=2010-05-01T03:17:28.796
event.tag.report tag_id=0x35E0170044CF0D590000F603, type=ISOC, antenna=1, rssi=251, time=2010-05-01T03:17:28.800
event.tag.report tag_id=0x35E0170044CF0D590000F575, type=ISOC, antenna=1, rssi=775, time=2010-05-01T03:17:28.804
event.tag.report tag_id=0x35E0170044CF0D590000F658, type=ISOC, antenna=1, rssi=875, time=2010-05-01T03:17:28.817
event.tag.report tag_id=0x35E0170044CF0D590000F5B1, type=ISOC, antenna=1, rssi=1013, time=2010-05-01T03:17:28.830
event.tag.report tag_id=0x35E0170044CF0D590000F58C, type=ISOC, antenna=1, rssi=102, time=2010-05-01T03:17:28.830
event.tag.report tag_id=0x35E0170044CF0D590000F5AF, type=ISOC, antenna=1, rssi=2423, time=2010-05-01T03:17:28.832
event.tag.report tag_id=0x35E0170044CF0D590000F5B0, type=ISOC, antenna=1, rssi=1517, time=2010-05-01T03:17:28.833
event.tag.report tag_id=0x35E0170044CF0D590000F640, type=ISOC, antenna=1, rssi=805, time=2010-05-01T03:17:28.839
event.tag.report tag_id=0x35E0170044CF0D590000F634, type=ISOC, antenna=1, rssi=1482, time=2010-05-01T03:17:28.849
event.tag.report tag_id=0x35E0170044CF0D590000F641, type=ISOC, antenna=1, rssi=1087, time=2010-05-01T03:17:28.853
event.tag.report tag_id=0x35E0170044CF0D590000F61C, type=ISOC, antenna=1, rssi=400, time=2010-05-01T03:17:28.861
